Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Devin Leary,QB,Kentucky,SEC,0.319,0.326,0.194,0.17,0.351,0.581,0.288,0.356,122.256,118.574,3.682,23.58,44.957,63.954,59.68,62.576,218,0
2023,Trent Pennix,TE,NC State,ACC,1.239,0.899,3.793,1.046,0.665,1.125,1.086,1.738,21.07,13.483,7.587,8.368,4.653,0,14.119,6.951,300,0
2023,Jasiah Provillon,WR,Campbell,CAA,0.931,0.931,0.694,1.884,0.455,0.611,0.931,1.071,2.794,2.794,0,1.884,0.91,0,2.794,0,300,0
2023,Devin Carter,WR,West Virginia,B12,1.16,1.16,0.094,0.686,0.825,2.009,0.498,1.539,38.291,38.291,0,4.799,9.073,28.13,5.982,32.309,300,0
2023,Sean Chambers,QB,Montana State,Big Sky,0.516,0.434,0.607,0.272,0.602,0.931,0.548,0.432,74.273,32.991,41.282,17.109,28.878,26.065,56.994,17.279,300,0
2023,Gunner Gentry,WR,Wyoming,Mountain West,1.254,1.254,1.024,0.693,2.377,0.983,1.254,1.313,3.763,3.763,0,1.386,2.377,0,3.763,0,300,0
2023,Josiah Johnson,TE,Oklahoma State,B12,0.044,0.137,-1.215,0.191,-0.353,1.044,-0.009,0.162,1.274,3.704,-2.43,2.68,-3.532,4.176,-0.188,1.462,300,0
2023,Re-al Mitchell,QB,San Diego,Pioneer,0.246,0.279,0.201,0.035,0.262,0.751,0.262,0.196,23.902,15.645,8.257,1.45,7.596,15.777,19.396,4.506,300,0
2023,Joseph Scates,WR,Memphis,AAC,1.053,1.053,0.224,0.701,0.373,2.19,1.067,1.018,36.864,36.864,0,10.513,3.726,19.708,26.686,10.178,300,0
2023,Sean Shaw Jr.,WR,Texas State,SBC,0.451,0.451,0.078,0.091,0.559,1.084,0.112,0.927,5.417,5.417,0,0.453,2.796,2.168,0.781,4.636,300,0
2023,Ygenio Booker,RB,UT Martin,Big South-OVC,-0.453,-0.453,-0.423,-0.453,-0.37,-0.268,-0.453,-0.28,-0.453,-0.453,0,-0.453,0,0,-0.453,0,300,0
2023,Spencer Sanders,QB,Ole Miss,SEC,-0.128,-0.128,-0.103,0.001,-0.015,-0.353,0.006,-0.128,-0.384,-0.384,0,0,-0.031,-0.353,0,-0.384,300,0
