Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2024,OT,OL,Yale,Ivy League,77.375,323,9.625,36.125,85.5,5.17,29.5,29,109.0,7.93,4.64,0,1725,10.499,65.564,63.746,61.56,50.241,5.2149,0,0,Round 3,0,0.13178405717667677,39,71.07438016528926,100.0
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,5.1299,1,0,Round 3,0,0.13174534161782026,39,71.48760330578511,100.0
2025,EDGE,DL,North Carolina,ACC,73.0,254,10.0,32.5,79.875,5.45,24.5,27,93.0,8.19,4.68,1,1496,2.602,50.555,55.402,46.067,47.749,0.0,0,0,Undrafted,0,0.1312163352045292,39,71.900826446281,100.0
2024,EDGE,DL,Arkansas,SEC,75.875,266,10.125,32.75,79.5,4.69,31.5,21,120.0,7.07,4.27,1,1431,2.225,47.846,34.458,61.741,53.372,0.0,0,0,Undrafted,0,0.1307604286091547,39,72.31404958677686,100.0
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,34.0,81.125,5.5,28.0,20,101.0,8.34,4.97,1,1760,11.472,73.944,84.016,49.984,45.242,0.0,1,0,Undrafted,0,0.13052905086312974,39,72.72727272727273,100.0
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,77.375,4.51,41.0,17,128.0,6.94,4.29,1,1504,2.267,56.034,67.613,41.499,46.125,5.3181,0,0,Round 2,0,0.12987494164171337,39,73.14049586776859,100.0
2023,WR,Skill,South Carolina,SEC,73.0,201,9.5,34.125,80.25,4.69,35.0,17,130.0,7.15,4.31,1,1620,4.416,61.258,58.008,49.932,79.756,2.7081,0,0,Undrafted,0,0.1281234255322892,39,73.55371900826447,100.0
2024,TE,Skill,Washington,Pac-12,75.125,231,9.25,32.875,78.5,4.47,35.0,28,121.0,6.99,4.39,1,1879,17.544,82.666,86.101,64.802,60.593,2.5649,0,0,Undrafted,0,0.1276251696335933,39,73.96694214876032,100.0
2024,OT,OL,Eastern Kentucky,UAC,77.75,329,10.75,35.75,85.125,5.21,29.0,29,108.0,7.86,4.59,0,1739,10.583,67.086,65.694,61.574,51.081,2.9957,0,0,Undrafted,0,0.12756383143722544,39,74.3801652892562,100.0
2023,RB,Skill,Texas A&M,SEC,68.5,188,8.5,29.0,69.125,4.32,33.0,20,120.0,7.57,4.99,1,1629,7.2,58.223,43.007,65.719,58.545,5.1648,0,0,Round 3,0,0.12588453976274697,39,74.79338842975206,100.0
2024,OT,OL,Howard,MEAC,79.75,353,9.75,35.125,85.5,5.35,27.5,31,105.0,7.5,4.41,1,1743,10.624,67.994,66.593,60.836,53.823,0.0,0,0,Undrafted,0,0.1244992337365996,39,75.20661157024794,100.0
2023,OT,OL,Syracuse,ACC,77.0,318,9.5,33.75,81.875,5.21,30.5,20,103.0,7.61,4.68,1,1464,5.084,59.708,56.419,61.005,44.497,5.3982,0,0,Round 2,0,0.12397103223068705,39,75.6198347107438,100.0
2024,S,Secondary,Oregon,Pac-12,71.25,200,10.125,30.125,72.875,4.6,40.5,17,126.0,6.99,4.88,1,2106,25.043,90.094,93.321,73.578,35.343,4.9972,1,0,Round 4,0,0.1234921807650293,39,76.03305785123968,100.0
2025,EDGE,DL,West Virginia,Big 12,77.5,293,10.5,35.0,84.5,4.88,28.5,28,112.0,7.38,4.03,1,1455,1.795,52.984,64.597,35.526,62.429,0.0,0,0,Undrafted,0,0.12334574297583291,39,76.44628099173553,100.0
2025,CB,Secondary,Kansas State,Big 12,69.75,191,9.0,30.75,75.875,4.35,37.5,12,129.0,8.19,4.93,1,1754,11.098,70.634,61.856,71.635,49.804,5.1648,0,0,Round 3,0,0.12320834868546414,39,76.85950413223141,100.0
2024,EDGE,DL,Charlotte,AAC,76.5,260,9.5,33.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,1055,-14.993,22.913,17.6,42.495,39.432,0.0,0,0,Undrafted,0,0.12297051630808664,39,77.27272727272727,100.0
2024,DL,DL,Ohio St.,Big Ten,74.75,290,10.0,33.5,81.125,4.97,31.0,27,111.0,7.65,4.61,0,2065,27.485,89.569,83.397,86.658,44.2,5.323,1,0,Round 2,0,0.12277105814211484,39,77.68595041322314,100.0
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,77.75,4.43,32.5,13,126.0,8.19,4.97,1,2007,20.608,84.235,76.596,81.866,47.73,5.2883,1,0,Round 2,0,0.1215344128834295,39,78.099173553719,100.0
2024,IOL,OL,Illinois,Big Ten,76.25,315,9.0,33.875,81.875,5.22,24.5,26,102.0,7.77,4.73,1,1504,0.543,45.217,52.138,44.335,38.615,5.2364,0,0,Round 3,0,0.12125104854799564,39,78.51239669421489,100.0
2024,DL,DL,Miami,ACC,75.5,303,9.0,33.875,80.625,5.12,30.0,27,109.0,7.81,4.75,1,1580,11.169,68.436,66.666,63.176,51.762,0.0,0,0,Undrafted,0,0.12101901184951157,39,78.92561983471074,100.0
